Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,54,263,210,91,147,44
2019,60,240,197,76,158,64
2020,31,192,209,121,111,15
2021,45,250,308,225,64,0
2022,41,238,242,154,14,1
2023,50,296,230,162,0,40
2024,11,36,25,21,0,6
