Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,364,611,403,143,15,0
2019,300,641,357,140,2,1
2020,261,611,161,114,9,0
2021,391,676,245,104,7,2
2022,413,617,238,144,18,3
2023,381,702,290,113,6,0
2024,62,94,26,24,0,0
