Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,405,748,433,166,15,0
2019,349,791,397,159,2,2
2020,296,734,188,133,9,0
2021,429,814,267,130,7,2
2022,432,742,265,173,24,4
2023,408,839,353,137,20,0
2024,66,123,28,24,0,0
