Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,76,102,12,5,2,0
2019,57,83,5,2,5,0
2020,50,92,8,1,3,0
2021,91,112,11,4,12,2
2022,63,163,9,4,17,4
2023,40,221,11,1,13,2
2024,7,37,2,1,0,0
