Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,429,1414,1210,95,17,0
2019,451,1282,1071,158,4,0
2020,275,851,771,55,13,3
2021,422,1752,1181,116,74,12
2022,435,1807,1244,101,248,20
2023,499,2063,1291,56,102,99
2024,98,466,199,13,40,42
