Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,630,830,173,249,241,0
2019,556,818,155,266,287,34
2020,518,638,86,108,198,62
2021,559,972,127,58,171,20
2022,578,1082,132,205,282,7
2023,546,1001,119,155,346,150
2024,105,218,21,16,46,33
