Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,571,1456,931,69,16,0
2019,415,1412,619,14,16,0
2020,352,900,429,22,26,5
2021,533,1372,738,138,50,171
2022,694,1549,811,69,67,170
2023,569,1579,682,28,50,304
2024,153,344,246,31,49,279
