Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,658,2100,773,718,1068,1738
2019,676,2071,819,635,930,1597
2020,429,1568,575,473,657,1297
2021,594,2099,844,530,710,1754
2022,775,2153,900,648,969,1937
2023,841,2392,838,690,1022,1869
2024,90,245,89,93,115,224
