Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,41,0,0,0,0,0
2019,40,4,0,0,2,0
2020,24,2,0,0,4,0
2021,18,0,1,0,7,0
2022,19,0,0,0,4,0
2023,26,1,0,0,3,0
2024,0,2,0,0,0,0
