Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,509,999,551,8,4,0
2019,491,885,366,2,11,0
2020,418,778,403,82,15,4
2021,607,941,564,88,39,18
2022,560,900,560,31,49,58
2023,431,975,381,11,59,105
2024,65,159,60,1,2,16
