Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,58,97,22,0,0,0
2019,50,80,18,0,2,0
2020,38,66,13,0,0,0
2021,60,84,11,0,0,2
2022,83,111,14,0,0,2
2023,71,117,11,0,0,3
2024,8,16,4,0,0,0
