Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,39,2,0,0,0,0
2019,19,2,0,0,0,0
2020,13,4,3,0,2,0
2021,21,16,0,0,0,0
2022,27,18,2,0,4,0
2023,15,15,0,0,4,0
2024,2,2,0,0,0,0
