Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,14,0,0,0,0
2019,0,51,0,0,0,0
2020,0,28,0,0,0,1
2021,46,761,44,54,58,12
2022,4,678,38,0,231,18
2023,70,757,20,0,74,88
2024,19,321,35,4,34,43
