Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,206,404,223,13,4,0
2019,241,341,238,12,8,0
2020,193,288,229,6,1,0
2021,250,464,259,3,4,0
2022,277,464,239,16,6,0
2023,280,398,228,16,1,2
2024,52,272,31,0,0,0
