Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,255,317,126,0,0,0
2019,216,330,95,0,2,0
2020,198,323,50,0,4,0
2021,320,356,79,0,3,2
2022,353,339,54,0,7,2
2023,297,348,91,0,0,0
2024,48,42,7,0,0,0
