Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,0,0,0
2019,0,9,0,0,0,0
2020,0,4,0,0,0,0
2021,47,88,5,174,30,2
2022,153,103,6,75,88,3
2023,40,220,5,0,19,40
2024,24,94,4,5,13,9
