Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,862,2465,1582,115,26,0
2019,619,2304,1060,50,21,0
2020,526,1650,787,44,29,7
2021,719,2412,1249,195,62,163
2022,910,2754,1341,114,79,142
2023,808,2907,1135,77,62,296
2024,241,626,267,33,39,274
