Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,2,2,2,0,0,0
2019,7,1,0,0,0,0
2020,4,2,0,0,0,0
2021,5,4,0,0,0,0
2022,3,1,0,0,0,0
2023,5,2,0,0,0,0
2024,4,0,0,0,0,0
