Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,40,81,0,0,0,0
2019,22,76,2,0,0,0
2020,14,53,0,0,0,0
2021,99,73,2,0,0,0
2022,168,80,0,3,0,0
2023,180,94,6,1,0,0
2024,38,60,0,0,0,0
