Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,308,510,385,362,844,1440
2019,292,548,323,342,695,1394
2020,287,467,204,259,441,1200
2021,369,652,199,274,360,1479
2022,298,756,201,237,451,1197
2023,227,519,241,263,440,1491
