Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,334,1126,1209,96,13,0
2019,342,956,1061,157,3,0
2020,211,575,767,54,14,2
2021,331,1201,1153,65,25,2
2022,383,1269,1203,103,80,2
2023,371,1555,1291,55,46,24
