Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,440,740,959,426,1042,1032
2019,399,876,868,313,808,1048
2020,393,630,575,279,578,753
2021,567,653,619,365,296,634
2022,696,742,610,418,266,569
2023,584,847,619,370,388,911
