Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,346,1032,437,193,533,387
2019,314,992,497,151,583,279
2020,245,736,414,114,302,235
2021,414,1016,457,125,380,297
2022,492,1072,509,124,495,419
2023,435,968,549,182,696,395
