Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,339,1355,491,656,812,1380
2019,355,1269,493,547,626,1270
2020,275,1074,476,498,621,1351
2021,371,1202,586,513,552,1637
2022,452,1329,649,584,653,1573
2023,533,1395,618,693,712,1741
