Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,344,1192,466,189,520,381
2019,315,1139,515,143,571,264
2020,252,795,438,113,290,236
2021,414,1026,465,124,375,292
2022,477,1078,521,121,489,414
2023,406,965,574,181,702,389
