Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,530,1299,880,708,1162,1043
2019,466,1355,912,464,923,1060
2020,388,1113,538,409,601,763
2021,597,1185,573,571,330,642
2022,713,1196,617,599,408,616
2023,615,1303,628,545,504,969
