Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1567,3530,1996,287,292,177
2019,1259,3249,1557,199,245,198
2020,1080,2430,1173,133,228,186
2021,1312,3484,1694,182,256,281
2022,1499,3950,1667,107,260,199
2023,1491,3764,1266,159,309,357
