Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,854,1396,853,425,119,0
2019,778,1404,852,300,143,14
2020,718,1089,687,179,166,16
2021,829,1389,711,172,174,56
2022,945,1523,940,236,150,62
2023,933,1321,997,298,204,27
