Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,892,2161,453,0,8,0
2019,933,2331,319,0,10,0
2020,676,1753,242,0,12,2
2021,1004,2977,461,12,41,11
2022,1071,3260,482,0,123,15
2023,1026,3109,429,1,28,26
