Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,335,1126,1211,96,13,0
2019,342,958,1060,156,3,0
2020,212,574,768,54,14,2
2021,331,1202,1152,65,25,2
2022,383,1266,1202,103,80,2
2023,370,1555,1290,55,46,24
