Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,144,522,188,77,281,243
2019,195,586,183,45,155,240
2020,136,424,71,59,155,183
2021,179,556,43,173,159,204
2022,184,372,39,143,123,182
2023,227,521,49,15,139,221
