MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo
210623000,2016-02-22T13:05:59,30.35772,-81.6175,7.215178356701349,26.0,15,CITY OF HANOI,IMO9134634,5BXS3,71,0,184.0,25.0,,
210623000,2016-02-22T15:55:20,30.3652,-81.22453,7.215178356701349,97.0,97,CITY OF HANOI,IMO9134634,5BXS3,71,0,184.0,25.0,,
