UNIQUE_IDENTIFIER,NUM_NEARBY_SHIPS
09 03809,2704
09 03810,786
09 03819,206
09 04252,86
09 06000A,0
09 06000B,0
09 06015,0
09 06026,0
09 06200A,0
09 06200B,0
10 1391 424,0
10 1392 424,0
10 1393 441,1
10 1393N001,1
10 1393S001,1
10 1447 449,0
10 1452 449,0
10 1501 006,0
10 1577 050,138
10 1685 000,1
10 1687 029,139
10 1688 029,12
10 1691 029B,2
10 1693 050,2273
10 1737A056,37818
10 1737B056,37818
10 1744 059,0
10 1813 060,36327
10 2007B008,0
10 2008H008,0
10 2008I008,0
10 2012B012,0
10 2021A021,0
10 2024A024,0
10 2356B356,0
10 2356C356,0
10 3003N007,0
10 3003S007,0
10 3150N014,0
10 3150S014,0
10 3151 013,0
10 3153 015,0
10 3154 018,0
10 3154A023,0
10 3155N014,0
10 3155S014,0
10 3156 050,0
10 3163 493,0
10 3164 036,0
10 3254N003,0
10 3254S003,0
10 3429 026,0
10 3437 058,0
10 3453 361,0
10 3454 357,0
10 3708 024,1
10 000000001494016,3169
10 000000001495034,3165
10 000000001496002,40154
11 0001,0
11 0003,0
11 0004,0
11 0005,0
11 0006,0
11 0007,0
11 0017,0
11 0030,0
11 0032(TO KEY BR),0
11 0054,0
11 0076,0
11 0169-1,1
11 0170-1,1
11 0233,2
11 1026,0
11 1113,1
11 1113(RAMP E),1
11 1133,1
11 1415,1
11 1416,1
11 1417,1
11 1450,2
11 3300016P0000000,0
12 010029,0
12 010035,0
12 010050,0
12 010092,0
12 010104,0
12 010106,0
12 016004,0
12 016006,0
12 020011,0
12 020012,0
12 030148,0
12 030184,0
12 030293,0
12 030300,1
12 050064,0
12 070013,0
12 070033,0
12 090016,0
12 100039,0
12 100045,1129
12 100049,0
12 100100,2206
12 100104,0
12 100107,1129
12 100135,1002
12 100136,1091
12 100218,0
12 100299,8805
12 100300,1210
12 100301,0
12 100332,8284
12 100333,7963
12 100338,8718
12 100352,0
12 100353,0
12 100358,0
12 100359,0
12 100459,0
12 100460,0
12 100500,0
12 100585,1210
12 100618,0
12 100920,0
12 105500,2281
12 105501,2258
12 105502,1581
12 105503,1335
12 105504,0
12 105600,37
12 105602,0
12 105606,2379
12 110077,0
12 110085,0
12 110086,0
12 110098,0
12 110103,0
12 114079,0
12 120001,1
12 120002,1
12 120022,0
12 120028,0
12 120042,0
12 120064,1
12 120083,1
12 120084,1
12 120088,0
12 120157,1
