Ship Length,Pier 1,Pier 2
150 - 175 m,5.156512483969459e-07,3.1928624117218175e-07
175 - 200 m,1.7950438372242965e-05,1.2254845255947881e-05
200 - 225 m,1.110239207078183e-05,8.026754760592198e-06
225 - 250 m,3.3150330367964586e-05,2.518897300061405e-05
250 - 275 m,8.456502070769324e-05,6.702329353826651e-05
275 - 300 m,0.00020404850153632768,0.00016616011888855565
300 - 325 m,0.00013392260428504203,0.00011148888487051863
325 - 350 m,0.00031157046833778235,0.0002639469575698263
350 - 375 m,0.0001794774060723892,0.00015474529028515276
375 - 400 m,1.8139603043588753e-06,1.5938574794401854e-06
Above 400 m,6.632022399384751e-07,6.194265555977338e-07
