Ship Length,Pier 1,Pier 2,Pier 3,Pier 4,Pier 5
150 - 175 m,2.706371748345943e-06,1.9988030184126912e-05,6.385423705441038e-05,4.444644402771559e-05,5.0663361397583225e-05
175 - 200 m,3.945692435436709e-05,0.00017170536425831218,0.0003498690609805491,0.00032074662144905336,0.0003788535924101605
200 - 225 m,7.295158561203195e-06,1.9658488305680498e-05,3.069504489455002e-05,9.409041234900805e-05,0.0001210190421599053
225 - 250 m,5.4218382778584764e-05,0.00012844591656177608,0.00017958170730871908,0.0003257413242944311,0.0003791603390459511
250 - 275 m,2.5565180814283464e-05,4.5166666730487356e-05,6.836359847606224e-05,0.00031632114838790716,0.0003808246357259506
275 - 300 m,7.336356414229884e-06,1.193526627531046e-05,9.984437998407017e-05,0.0005003112716216471,0.0005912869537049405
300 - 325 m,2.4478289505654477e-06,5.20027913917493e-06,6.29898318438775e-05,0.0002618601904672072,0.00030290966984733463
325 - 350 m,1.6028826584754137e-06,8.436071388451708e-06,0.00017535759055282123,0.0005456520325383809,0.0006161180974240618
350 - 375 m,1.4883931150463752e-06,6.244003574567566e-06,8.562015458979287e-05,0.00020033186181609336,0.0002206547440086743
375 - 400 m,6.26780396838459e-09,4.566085648632011e-07,2.794626779264233e-06,2.957559839726615e-06,2.2189010468961806e-06
Above 400 m,8.780795903595063e-08,9.685887670328342e-08,1.8346374329128844e-07,1.0505169607891608e-07,1.0455168399599212e-07
