MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TranscieverClass,TransceiverClass
366563000,2021-01-04T10:27:24,37.60222,-122.66246,11.843686356217097,6.699999809265137,0,MAHIMAHI,IMO7907996,WHRN,70,0,262,32,10.699999809265137,,A,
366563000,2021-01-04T14:03:10,37.7934,-122.30045,0.0683600957793931,194.0,274,MAHIMAHI,IMO7907996,WHRN,70,0,262,32,10.699999809265137,,A,
232024773,2021-06-28T01:59:42,37.78308,-122.56524,0.8122641845903887,71.19999694824219,69,HYUNDAI MARS,IMO9725122,MGGA6,74,0,324,48,13.0,74.0,,A
232024773,2021-06-28T14:56:55,37.74019,-122.35033,0.8122641845903887,220.1999969482422,173,HYUNDAI MARS,IMO9725122,MGGA6,74,1,324,48,13.0,74.0,,A
