Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,254,409,12,0,2,0
2019,258,360,18,0,8,0
2020,196,279,15,0,5,0
2021,306,449,17,0,16,0
2022,338,470,20,0,10,2
2023,284,419,11,0,9,0
2024,46,61,0,0,0,0
