Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,418,904,289,24,2,0
2019,294,822,221,4,8,0
2020,241,558,126,8,15,5
2021,411,848,283,119,46,184
2022,614,1004,299,49,63,216
2023,481,1028,356,4,47,337
2024,111,229,140,28,55,361
