Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,42,286,41,0,0,0
2019,33,297,40,0,0,0
2020,20,227,151,0,0,0
2021,124,286,239,0,2,0
2022,150,252,188,2,1,0
2023,227,319,205,3,0,1
2024,130,39,5,0,1,0
