Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,206,397,223,13,4,0
2019,241,335,237,12,8,0
2020,190,288,224,6,1,0
2021,249,452,257,3,4,0
2022,276,457,237,16,6,0
2023,280,393,227,16,1,2
2024,52,271,31,0,0,0
