Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,71,282,36,0,0,0
2019,92,239,15,0,2,0
2020,73,191,13,0,0,0
2021,102,262,27,0,0,0
2022,107,271,18,0,2,0
2023,133,244,17,0,2,9
2024,20,68,14,2,0,1
