Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,260,918,700,123,6,0
2019,200,884,700,95,4,0
2020,144,670,776,100,1,4
2021,201,861,854,177,17,3
2022,164,1234,948,216,48,49
2023,192,1134,821,221,17,2
2024,62,191,115,31,0,13
