Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1319,3000,1738,132,23,0
2019,1034,2794,1249,56,26,0
2020,852,2089,974,45,42,6
2021,1132,3158,1458,186,54,98
2022,1379,3561,1492,99,71,72
2023,1337,3466,1186,77,50,196
2024,350,717,259,28,29,131
