Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,538,1044,625,357,115,0
2019,480,993,576,236,147,13
2020,374,735,429,142,167,16
2021,477,1045,407,101,161,56
2022,570,1157,562,168,145,60
2023,511,1044,643,230,201,26
2024,94,157,86,20,32,12
