Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,73,197,64,0,0,0
2019,31,233,14,0,0,0
2020,5,125,8,52,0,0
2021,74,460,76,18,70,217
2022,112,831,129,41,126,284
2023,74,528,251,1,125,376
2024,19,303,98,31,64,435
