Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,144,511,188,274,309,464
2019,161,555,198,209,262,414
2020,107,453,189,169,254,432
2021,182,418,227,158,218,491
2022,211,491,236,193,273,447
2023,221,422,224,164,280,407
2024,90,53,11,21,38,49
