Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,40,81,0,0,0,0
2019,22,76,2,0,0,0
2020,16,54,0,0,0,0
2021,99,72,4,0,6,0
2022,174,81,2,3,2,0
2023,181,93,6,1,0,0
2024,44,60,0,0,0,0
