Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,90,229,56,2,2,0
2019,92,218,39,0,4,0
2020,72,180,26,2,0,0
2021,110,229,16,2,0,4
2022,171,218,16,0,0,2
2023,156,225,16,2,0,5
2024,17,33,4,0,0,0
