Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,59,336,129,32,1,0
2019,57,391,145,13,0,0
2020,11,298,157,6,2,0
2021,51,404,229,13,3,0
2022,117,341,183,33,4,0
2023,99,410,178,41,4,1
2024,22,40,19,4,2,0
