Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,266,325,68,2,2,0
2019,222,293,43,0,4,0
2020,191,272,26,2,0,0
2021,214,339,22,2,0,4
2022,331,327,17,0,0,2
2023,244,293,17,2,0,5
2024,38,49,4,0,0,0
