Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,63,170,547,30,67,0
2019,56,158,421,20,61,0
2020,47,123,253,17,27,0
2021,52,194,318,28,60,2
2022,58,234,361,29,91,0
2023,81,219,367,22,37,2
2024,6,33,51,2,6,0
