Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,580,1055,612,8,4,0
2019,546,955,394,2,14,0
2020,455,855,443,85,19,4
2021,657,1025,612,89,39,18
2022,591,956,599,30,51,57
2023,468,1043,401,11,65,105
2024,66,178,58,1,2,15
