Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1843,3965,2055,206,18,0
2019,1606,3809,1785,193,31,0
2020,1224,3043,1500,121,37,8
2021,1796,4626,1700,239,128,17
2022,2064,5086,1949,275,331,26
2023,1993,4757,1992,356,118,104
2024,396,818,300,82,54,38
